payment_id,order_id,amount,payment_method,status
PAY-1068,ORD-1068,499,CARD,SUCCESS
PAY-1069,ORD-1069,1999,CARD,SUCCESS
PAY-1070,ORD-1070,299,CARD,SUCCESS
PAY-1071,ORD-1071,1999,NETBANKING,SUCCESS
PAY-1072,ORD-1072,2499,NETBANKING,SUCCESS
PAY-1073,ORD-1073,999,UPI,SUCCESS
PAY-1074,ORD-1074,199,WALLET,SUCCESS
PAY-1075,ORD-1075,299,UPI,SUCCESS
PAY-1076,ORD-1076,4999,CARD,SUCCESS
PAY-1077,ORD-1077,999,NETBANKING,SUCCESS
PAY-1078,ORD-1078,1499,WALLET,SUCCESS
PAY-1079,ORD-1079,999,WALLET,SUCCESS
PAY-1080,ORD-1080,499,UPI,SUCCESS
PAY-1081,ORD-1081,199,CARD,SUCCESS
PAY-1082,ORD-1082,999,NETBANKING,SUCCESS
PAY-1083,ORD-1083,499,CARD,SUCCESS
PAY-1084,ORD-1084,299,UPI,SUCCESS
PAY-1085,ORD-1085,999,UPI,SUCCESS
PAY-1086,ORD-1086,4999,CARD,SUCCESS
PAY-1087,ORD-1087,799,UPI,SUCCESS
PAY-1088,ORD-1088,1499,WALLET,SUCCESS
PAY-1089,ORD-1089,499,CARD,FAILED
PAY-1090,ORD-1090,4999,CARD,SUCCESS
PAY-1091,ORD-1091,1499,CARD,SUCCESS
PAY-1092,ORD-1092,199,UPI,SUCCESS
PAY-1093,ORD-1093,1499,NETBANKING,SUCCESS
PAY-1094,ORD-1094,999,WALLET,SUCCESS
PAY-1095,ORD-1095,199,CARD,SUCCESS
PAY-1096,ORD-1096,299,UPI,SUCCESS
PAY-1097,ORD-1097,2499,UPI,SUCCESS
PAY-1098,ORD-1098,299,CARD,SUCCESS
PAY-1099,ORD-1099,4999,WALLET,SUCCESS
PAY-1100,ORD-1100,499,CARD,SUCCESS
PAY-DUP-1020,ORD-1020,1499,WALLET,SUCCESS
