settlement_id,payment_id,order_id,settlement_amount,settlement_status
SET-1039,PAY-1039,ORD-1039,1499,SETTLED
SET-1040,PAY-1041,ORD-1040,799,SETTLED
SET-1041,PAY-1041,ORD-1041,999,SETTLED
SET-1042,PAY-1042,ORD-1042,299,SETTLED
SET-1043,PAY-1043,ORD-1043,499,SETTLED
SET-1044,PAY-1044,ORD-1044,799,SETTLED
SET-1045,PAY-1045,ORD-1045,2499,SETTLED
SET-1046,PAY-1046,ORD-1046,999,SETTLED
SET-1047,PAY-1047,ORD-1047,4999,SETTLED
SET-1048,PAY-1048,ORD-1048,1499,SETTLED
SET-1049,PAY-1049,ORD-1049,199,SETTLED
SET-1050,PAY-1050,ORD-1050,199,SETTLED
SET-1051,PAY-1051,ORD-1051,1499,SETTLED
SET-1052,PAY-1052,ORD-1052,999,SETTLED
SET-1053,PAY-1053,ORD-1053,799,SETTLED
SET-1054,PAY-1054,ORD-1054,1499,SETTLED
SET-1055,PAY-1055,ORD-1055,2499,SETTLED
SET-1056,PAY-1056,ORD-1056,2499,SETTLED
SET-1057,PAY-1057,ORD-1057,999,SETTLED
SET-1058,PAY-1058,ORD-1058,799,SETTLED
SET-1059,PAY-1059,ORD-1059,4999,SETTLED
SET-1060,PAY-1060,ORD-1060,999,SETTLED
SET-1061,PAY-1061,ORD-1061,1999,SETTLED
SET-1062,PAY-1062,ORD-1062,1999,SETTLED
SET-1063,PAY-1063,ORD-1063,799,SETTLED
SET-1064,PAY-1064,ORD-1064,4999,SETTLED
SET-1065,PAY-1065,ORD-1065,299,SETTLED
SET-1066,PAY-1066,ORD-1066,199,SETTLED
SET-1067,PAY-1067,ORD-1067,299,SETTLED
SET-1068,PAY-1068,ORD-1068,499,SETTLED
SET-1069,PAY-1069,ORD-1069,1999,SETTLED
SET-1070,PAY-1070,ORD-1070,299,SETTLED
SET-1071,PAY-1071,ORD-1071,1999,SETTLED
SET-1072,PAY-1072,ORD-1072,2499,SETTLED
SET-1073,PAY-1073,ORD-1073,999,SETTLED
SET-1074,PAY-1074,ORD-1074,199,SETTLED
SET-1075,PAY-1075,ORD-1075,299,SETTLED
SET-1076,PAY-1076,ORD-1076,4999,SETTLED
SET-1077,PAY-1077,ORD-1077,999,SETTLED
SET-1078,PAY-1078,ORD-1078,1499,SETTLED
SET-1079,PAY-1079,ORD-1079,999,SETTLED
SET-1080,PAY-1080,ORD-1080,499,SETTLED
SET-1081,PAY-1081,ORD-1081,199,SETTLED
SET-1082,PAY-1082,ORD-1082,999,SETTLED
SET-1083,PAY-1083,ORD-1083,499,SETTLED
SET-1084,PAY-1084,ORD-1084,299,SETTLED
SET-1085,PAY-1085,ORD-1085,999,SETTLED
SET-1086,PAY-1086,ORD-1086,4999,SETTLED
SET-1087,PAY-1087,ORD-1087,799,SETTLED
SET-1088,PAY-1088,ORD-1088,1499,SETTLED
SET-1089,PAY-1089,ORD-1089,499,SETTLED
SET-1090,PAY-1090,ORD-1090,4999,SETTLED
SET-1091,PAY-1091,ORD-1091,1499,SETTLED
SET-1092,PAY-1092,ORD-1092,199,SETTLED
SET-1093,PAY-1093,ORD-1093,1499,SETTLED
SET-1094,PAY-1094,ORD-1094,999,SETTLED
SET-1095,PAY-1095,ORD-1095,199,SETTLED
SET-1096,PAY-1096,ORD-1096,299,SETTLED
SET-1097,PAY-1097,ORD-1097,2499,SETTLED
SET-1098,PAY-1098,ORD-1098,299,SETTLED
SET-1099,PAY-1099,ORD-1099,4999,SETTLED
SET-1100,PAY-1100,ORD-1100,499,SETTLED
